"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","919296"
"Janssen Vaccines & Prevention B.V","free state","Adults","487883"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1551812"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1248696"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1082237"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","832016"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216320"
"Janssen Vaccines & Prevention B.V","north west","Adults","714774"
"Janssen Vaccines & Prevention B.V","western cape","Adults","752715"
"Pfizer","eastern cape","12-17 Years","110944"
"Pfizer","eastern cape","Adults","1134150"
"Pfizer","free state","12-17 Years","79787"
"Pfizer","free state","Adults","596556"
"Pfizer","gauteng","12-17 Years","170684"
"Pfizer","gauteng","Adults","3402195"
"Pfizer","kwazulu-natal","12-17 Years","132882"
"Pfizer","kwazulu-natal","Adults","1659971"
"Pfizer","limpopo","12-17 Years","97479"
"Pfizer","limpopo","Adults","882238"
"Pfizer","mpumalanga","12-17 Years","50719"
"Pfizer","mpumalanga","Adults","476698"
"Pfizer","northern cape","12-17 Years","14393"
"Pfizer","northern cape","Adults","194676"
"Pfizer","north west","12-17 Years","52870"
"Pfizer","north west","Adults","541267"
"Pfizer","western cape","12-17 Years","53715"
"Pfizer","western cape","Adults","1868284"
