"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536113"
"kwazulu-natal","Private Health","1234419"
"western cape","Private Health","1918893"
"limpopo","Private Health","606850"
"northern cape","Public Health","606289"
"gauteng","Private Health","4562657"
"kwazulu-natal","Public Health","4645824"
"free state","Public Health","1857171"
"north west","Public Health","1781622"
"gauteng","Public Health","5818192"
"mpumalanga","Private Health","405712"
"mpumalanga","Public Health","1918623"
"northern cape","Private Health","157610"
"eastern cape","Private Health","693340"
"western cape","Public Health","3672339"
"limpopo","Public Health","3131572"
"free state","Private Health","399453"
"eastern cape","Public Health","3519826"
