"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","161"
"eastern cape","Public Health","948"
"free state","Private Health","72"
"free state","Public Health","524"
"gauteng","Private Health","1016"
"gauteng","Public Health","1063"
"kwazulu-natal","Private Health","149"
"kwazulu-natal","Public Health","1670"
"limpopo","Private Health","464"
"limpopo","Public Health","1088"
"mpumalanga","Private Health","268"
"mpumalanga","Public Health","1924"
"northern cape","Private Health","28"
"northern cape","Public Health","924"
"north west","Private Health","78"
"north west","Public Health","330"
"western cape","Private Health","262"
"western cape","Public Health","602"
