"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","896292"
"Janssen Vaccines & Prevention B.V","free state","Adults","477264"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1493614"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1200099"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1057150"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","792687"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","210126"
"Janssen Vaccines & Prevention B.V","north west","Adults","700602"
"Janssen Vaccines & Prevention B.V","western cape","Adults","735442"
"Pfizer","eastern cape","12-17 Years","67828"
"Pfizer","eastern cape","Adults","1091031"
"Pfizer","free state","12-17 Years","65428"
"Pfizer","free state","Adults","573273"
"Pfizer","gauteng","12-17 Years","147940"
"Pfizer","gauteng","Adults","3304898"
"Pfizer","kwazulu-natal","12-17 Years","87487"
"Pfizer","kwazulu-natal","Adults","1583234"
"Pfizer","limpopo","12-17 Years","69845"
"Pfizer","limpopo","Adults","852864"
"Pfizer","mpumalanga","12-17 Years","35004"
"Pfizer","mpumalanga","Adults","453270"
"Pfizer","northern cape","12-17 Years","8296"
"Pfizer","northern cape","Adults","186731"
"Pfizer","north west","12-17 Years","44099"
"Pfizer","north west","Adults","524651"
"Pfizer","western cape","12-17 Years","49169"
"Pfizer","western cape","Adults","1832428"
