"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","518564"
"kwazulu-natal","Private Health","1196278"
"western cape","Private Health","1854573"
"limpopo","Private Health","577251"
"northern cape","Public Health","551836"
"gauteng","Private Health","4399975"
"kwazulu-natal","Public Health","4277487"
"free state","Public Health","1742737"
"north west","Public Health","1694041"
"gauteng","Public Health","5554108"
"mpumalanga","Private Health","387116"
"mpumalanga","Public Health","1749657"
"northern cape","Private Health","151614"
"eastern cape","Private Health","667819"
"western cape","Public Health","3559989"
"limpopo","Public Health","2921106"
"free state","Private Health","381247"
"eastern cape","Public Health","3251535"
