"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","896292"
"eastern cape","Pfizer","1308084"
"free state","Johnson & Johnson","477264"
"free state","Pfizer","657594"
"gauteng","Johnson & Johnson","1493614"
"gauteng","Pfizer","3834801"
"kwazulu-natal","Johnson & Johnson","1200098"
"kwazulu-natal","Pfizer","1918164"
"limpopo","Johnson & Johnson","1057150"
"limpopo","Pfizer","1018168"
"mpumalanga","Johnson & Johnson","792687"
"mpumalanga","Pfizer","553841"
"northern cape","Johnson & Johnson","210126"
"northern cape","Pfizer","219072"
"north west","Johnson & Johnson","700602"
"north west","Pfizer","608131"
"western cape","Johnson & Johnson","735442"
"western cape","Pfizer","2093335"
