"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536693"
"kwazulu-natal","Private Health","1236128"
"western cape","Private Health","1921489"
"limpopo","Private Health","608049"
"northern cape","Public Health","607268"
"gauteng","Private Health","4570129"
"kwazulu-natal","Public Health","4655118"
"free state","Public Health","1861416"
"north west","Public Health","1783755"
"gauteng","Public Health","5828116"
"mpumalanga","Private Health","406150"
"mpumalanga","Public Health","1925008"
"northern cape","Private Health","157901"
"eastern cape","Private Health","693897"
"western cape","Public Health","3677835"
"limpopo","Public Health","3139006"
"free state","Private Health","400053"
"eastern cape","Public Health","3536110"
