"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920007"
"Janssen Vaccines & Prevention B.V","free state","Adults","488208"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1554642"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1250078"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1083037"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","833135"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216446"
"Janssen Vaccines & Prevention B.V","north west","Adults","715300"
"Janssen Vaccines & Prevention B.V","western cape","Adults","753569"
"Pfizer","eastern cape","12-17 Years","114783"
"Pfizer","eastern cape","Adults","1136998"
"Pfizer","free state","12-17 Years","79965"
"Pfizer","free state","Adults","597794"
"Pfizer","gauteng","12-17 Years","170574"
"Pfizer","gauteng","Adults","3407230"
"Pfizer","kwazulu-natal","12-17 Years","133658"
"Pfizer","kwazulu-natal","Adults","1663055"
"Pfizer","limpopo","12-17 Years","98774"
"Pfizer","limpopo","Adults","883635"
"Pfizer","mpumalanga","12-17 Years","52011"
"Pfizer","mpumalanga","Adults","477752"
"Pfizer","northern cape","12-17 Years","14626"
"Pfizer","northern cape","Adults","194924"
"Pfizer","north west","12-17 Years","52777"
"Pfizer","north west","Adults","541941"
"Pfizer","western cape","12-17 Years","54130"
"Pfizer","western cape","Adults","1870209"
