"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","952"
"eastern cape","Public Health","6698"
"free state","Private Health","690"
"free state","Public Health","3237"
"gauteng","Private Health","5101"
"gauteng","Public Health","6801"
"kwazulu-natal","Private Health","1375"
"kwazulu-natal","Public Health","5683"
"limpopo","Private Health","776"
"limpopo","Public Health","5015"
"mpumalanga","Private Health","431"
"mpumalanga","Public Health","3357"
"northern cape","Private Health","196"
"northern cape","Public Health","947"
"north west","Private Health","801"
"north west","Public Health","2030"
"western cape","Private Health","2236"
"western cape","Public Health","2708"
