"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","628","0","1215","1843"
"Janssen Vaccines & Prevention B.V","free state","Adults","310","0","652","962"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1330","0","1208","2538"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","560","0","921","1481"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","645","0","1223","1868"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","788","0","748","1536"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","95","0","211","306"
"Janssen Vaccines & Prevention B.V","north west","Adults","401","0","493","894"
"Janssen Vaccines & Prevention B.V","western cape","Adults","403","0","567","970"
"Pfizer","eastern cape","12-17 Years","1810","1232","0","3042"
"Pfizer","eastern cape","Adults","413","714","1638","2765"
"Pfizer","free state","12-17 Years","774","557","0","1331"
"Pfizer","free state","Adults","299","352","983","1634"
"Pfizer","gauteng","12-17 Years","847","1213","0","2060"
"Pfizer","gauteng","Adults","1444","1730","4130","7304"
"Pfizer","kwazulu-natal","12-17 Years","872","1080","0","1952"
"Pfizer","kwazulu-natal","Adults","826","1049","1750","3625"
"Pfizer","limpopo","12-17 Years","1127","566","0","1693"
"Pfizer","limpopo","Adults","365","491","1374","2230"
"Pfizer","mpumalanga","12-17 Years","749","301","0","1050"
"Pfizer","mpumalanga","Adults","302","313","587","1202"
"Pfizer","northern cape","12-17 Years","337","63","0","400"
"Pfizer","northern cape","Adults","117","111","209","437"
"Pfizer","north west","12-17 Years","257","420","0","677"
"Pfizer","north west","Adults","203","318","739","1260"
"Pfizer","western cape","12-17 Years","177","188","0","365"
"Pfizer","western cape","Adults","425","586","2598","3609"
