"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536316"
"kwazulu-natal","Private Health","1234860"
"western cape","Private Health","1919534"
"limpopo","Private Health","607361"
"northern cape","Public Health","606497"
"gauteng","Private Health","4564559"
"kwazulu-natal","Public Health","4647844"
"free state","Public Health","1858418"
"north west","Public Health","1781945"
"gauteng","Public Health","5820632"
"mpumalanga","Private Health","405818"
"mpumalanga","Public Health","1920178"
"northern cape","Private Health","157766"
"eastern cape","Private Health","693511"
"western cape","Public Health","3673627"
"limpopo","Public Health","3133329"
"free state","Private Health","399698"
"eastern cape","Public Health","3523417"
