"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","858551","0","147873","1006424"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","463569","0","91542","555111"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1414869","0","203318","1618187"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1154484","0","177398","1331882"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1048240","0","147760","1196000"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","810324","0","124999","935323"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","206892","0","33966","240858"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","691381","0","111098","802479"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","658303","0","109980","768283"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60871","0","24221","85092"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12199","36595"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137562","0","65384","202946"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94505","0","40024","134529"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34187","0","17016","51203"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21922","0","7151","29073"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23477","0","8965","32442"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94613","0","61527","156140"
"Pfizer","National","eastern cape","Adults","1346939","1134773","241158","2722870"
"Pfizer","National","eastern cape","12-17 Years","290603","111939","0","402542"
"Pfizer","National","free state","12-17 Years","171531","79838","0","251369"
"Pfizer","National","free state","Adults","678257","596951","139833","1415041"
"Pfizer","National","gauteng","12-17 Years","390358","170754","17","561129"
"Pfizer","National","gauteng","Adults","3924887","3403444","674598","8002929"
"Pfizer","National","kwazulu-natal","Adults","1993394","1660640","332100","3986134"
"Pfizer","National","kwazulu-natal","12-17 Years","296980","133170","9","430159"
"Pfizer","National","limpopo","Adults","1048725","882543","173775","2105043"
"Pfizer","National","limpopo","12-17 Years","290618","97824","2","388444"
"Pfizer","National","mpumalanga","12-17 Years","148264","51069","0","199333"
"Pfizer","National","mpumalanga","Adults","578015","476954","107298","1162267"
"Pfizer","National","northern cape","12-17 Years","36385","14450","0","50835"
"Pfizer","National","northern cape","Adults","227725","194759","36167","458651"
"Pfizer","National","north west","12-17 Years","152299","52852","4","205155"
"Pfizer","National","north west","Adults","625502","541407","111276","1278185"
"Pfizer","National","western cape","12-17 Years","132765","53821","2","186588"
"Pfizer","National","western cape","Adults","2126288","1868753","487109","4482150"
