"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","526216"
"kwazulu-natal","Private Health","1210488"
"western cape","Private Health","1879284"
"limpopo","Private Health","588244"
"northern cape","Public Health","569745"
"gauteng","Private Health","4459654"
"kwazulu-natal","Public Health","4429351"
"free state","Public Health","1788158"
"north west","Public Health","1733113"
"gauteng","Public Health","5667815"
"mpumalanga","Private Health","392654"
"mpumalanga","Public Health","1807414"
"northern cape","Private Health","154127"
"eastern cape","Private Health","677000"
"western cape","Public Health","3601045"
"limpopo","Public Health","3012712"
"free state","Private Health","389218"
"eastern cape","Public Health","3354475"
