"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","312"
"eastern cape","Public Health","5846"
"free state","Private Health","327"
"free state","Public Health","2249"
"gauteng","Private Health","2453"
"gauteng","Public Health","5218"
"kwazulu-natal","Private Health","481"
"kwazulu-natal","Public Health","5327"
"limpopo","Private Health","464"
"limpopo","Public Health","4747"
"mpumalanga","Private Health","240"
"mpumalanga","Public Health","3212"
"northern cape","Private Health","78"
"northern cape","Public Health","1184"
"north west","Private Health","297"
"north west","Public Health","1979"
"western cape","Private Health","1013"
"western cape","Public Health","2320"
