"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","8"
"eastern cape","Public Health","80"
"free state","Public Health","32"
"gauteng","Private Health","111"
"gauteng","Public Health","200"
"kwazulu-natal","Private Health","17"
"kwazulu-natal","Public Health","144"
"limpopo","Private Health","3"
"limpopo","Public Health","74"
"mpumalanga","Public Health","75"
"northern cape","Public Health","2"
"north west","Public Health","32"
"western cape","Private Health","15"
"western cape","Public Health","92"
