"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","98"
"Janssen Vaccines & Prevention B.V","free state","Adults","19"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","350"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","146"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","184"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","89"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","25"
"Janssen Vaccines & Prevention B.V","north west","Adults","68"
"Janssen Vaccines & Prevention B.V","western cape","Adults","69"
"Pfizer","eastern cape","12-17 Years","65"
"Pfizer","eastern cape","Adults","304"
"Pfizer","free state","12-17 Years","10"
"Pfizer","free state","Adults","66"
"Pfizer","gauteng","12-17 Years","49"
"Pfizer","gauteng","Adults","293"
"Pfizer","kwazulu-natal","12-17 Years","12"
"Pfizer","kwazulu-natal","Adults","139"
"Pfizer","limpopo","12-17 Years","38"
"Pfizer","limpopo","Adults","129"
"Pfizer","mpumalanga","12-17 Years","4"
"Pfizer","mpumalanga","Adults","74"
"Pfizer","northern cape","12-17 Years","4"
"Pfizer","northern cape","Adults","30"
"Pfizer","north west","12-17 Years","17"
"Pfizer","north west","Adults","32"
"Pfizer","western cape","12-17 Years","7"
"Pfizer","western cape","Adults","86"
