"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","33"
"eastern cape","Public Health","1396"
"free state","Private Health","19"
"free state","Public Health","261"
"gauteng","Private Health","301"
"gauteng","Public Health","1135"
"kwazulu-natal","Private Health","42"
"kwazulu-natal","Public Health","657"
"limpopo","Private Health","26"
"limpopo","Public Health","912"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","302"
"northern cape","Private Health","5"
"northern cape","Public Health","135"
"north west","Private Health","23"
"north west","Public Health","275"
"western cape","Private Health","38"
"western cape","Public Health","342"
