"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","1"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","32"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","20"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","2"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","7"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","1"
"Janssen Vaccines & Prevention B.V","north west","Adults","9"
"Janssen Vaccines & Prevention B.V","western cape","Adults","16"
"Pfizer","eastern cape","12-17 Years","9"
"Pfizer","eastern cape","Adults","12"
"Pfizer","free state","12-17 Years","3"
"Pfizer","free state","Adults","4"
"Pfizer","gauteng","12-17 Years","2"
"Pfizer","gauteng","Adults","50"
"Pfizer","kwazulu-natal","12-17 Years","1"
"Pfizer","kwazulu-natal","Adults","10"
"Pfizer","limpopo","12-17 Years","2"
"Pfizer","limpopo","Adults","2"
"Pfizer","mpumalanga","Adults","7"
"Pfizer","northern cape","12-17 Years","37"
"Pfizer","northern cape","Adults","1"
"Pfizer","north west","12-17 Years","2"
"Pfizer","north west","Adults","9"
"Pfizer","western cape","12-17 Years","2"
"Pfizer","western cape","Adults","7"
