"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Public Health","159"
"free state","Private Health","9"
"free state","Public Health","4"
"gauteng","Private Health","144"
"gauteng","Public Health","84"
"kwazulu-natal","Private Health","7"
"kwazulu-natal","Public Health","56"
"limpopo","Private Health","2"
"limpopo","Public Health","13"
"mpumalanga","Public Health","24"
"northern cape","Public Health","49"
"north west","Private Health","3"
"north west","Public Health","55"
"western cape","Private Health","4"
"western cape","Public Health","95"
