"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","50","0","61","111"
"Janssen Vaccines & Prevention B.V","free state","Adults","13","0","67","80"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","242","0","189","431"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","139","0","69","208"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","117","0","178","295"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","157","0","195","352"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","29","0","17","46"
"Janssen Vaccines & Prevention B.V","north west","Adults","46","0","44","90"
"Janssen Vaccines & Prevention B.V","western cape","Adults","52","0","38","90"
"Pfizer","eastern cape","12-17 Years","94","86","0","180"
"Pfizer","eastern cape","Adults","185","260","285","730"
"Pfizer","free state","12-17 Years","19","3","0","22"
"Pfizer","free state","Adults","34","49","87","170"
"Pfizer","gauteng","12-17 Years","22","39","0","61"
"Pfizer","gauteng","Adults","181","228","204","613"
"Pfizer","kwazulu-natal","12-17 Years","21","14","0","35"
"Pfizer","kwazulu-natal","Adults","132","112","108","352"
"Pfizer","limpopo","12-17 Years","27","12","0","39"
"Pfizer","limpopo","Adults","67","83","108","258"
"Pfizer","mpumalanga","12-17 Years","31","26","0","57"
"Pfizer","mpumalanga","Adults","82","139","38","259"
"Pfizer","northern cape","12-17 Years","7","0","0","7"
"Pfizer","northern cape","Adults","5","11","6","22"
"Pfizer","north west","12-17 Years","10","11","0","21"
"Pfizer","north west","Adults","31","50","49","130"
"Pfizer","western cape","12-17 Years","7","3","0","10"
"Pfizer","western cape","Adults","90","63","91","244"
