"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","18"
"eastern cape","Public Health","1003"
"free state","Private Health","26"
"free state","Public Health","246"
"gauteng","Private Health","363"
"gauteng","Public Health","742"
"kwazulu-natal","Private Health","26"
"kwazulu-natal","Public Health","569"
"limpopo","Private Health","46"
"limpopo","Public Health","546"
"mpumalanga","Private Health","16"
"mpumalanga","Public Health","652"
"northern cape","Private Health","5"
"northern cape","Public Health","70"
"north west","Private Health","23"
"north west","Public Health","218"
"western cape","Private Health","34"
"western cape","Public Health","310"
