"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","29"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","15"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","5"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","3"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","2"
"Janssen Vaccines & Prevention B.V","north west","Adults","11"
"Janssen Vaccines & Prevention B.V","western cape","Adults","12"
"Pfizer","eastern cape","12-17 Years","4"
"Pfizer","eastern cape","Adults","8"
"Pfizer","free state","12-17 Years","14"
"Pfizer","free state","Adults","8"
"Pfizer","gauteng","12-17 Years","15"
"Pfizer","gauteng","Adults","24"
"Pfizer","kwazulu-natal","12-17 Years","2"
"Pfizer","kwazulu-natal","Adults","16"
"Pfizer","limpopo","Adults","5"
"Pfizer","mpumalanga","12-17 Years","0"
"Pfizer","mpumalanga","Adults","6"
"Pfizer","northern cape","12-17 Years","0"
"Pfizer","north west","12-17 Years","3"
"Pfizer","north west","Adults","24"
"Pfizer","western cape","12-17 Years","1"
"Pfizer","western cape","Adults","5"
