"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","13"
"eastern cape","Public Health","39"
"free state","Private Health","25"
"free state","Public Health","2"
"gauteng","Private Health","91"
"gauteng","Public Health","72"
"kwazulu-natal","Public Health","61"
"limpopo","Private Health","10"
"limpopo","Public Health","12"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","11"
"northern cape","Private Health","5"
"northern cape","Public Health","19"
"north west","Public Health","87"
"western cape","Private Health","7"
"western cape","Public Health","30"
