"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536934"
"kwazulu-natal","Private Health","1236430"
"western cape","Private Health","1921970"
"limpopo","Private Health","608443"
"northern cape","Public Health","608149"
"gauteng","Private Health","4572004"
"kwazulu-natal","Public Health","4659949"
"free state","Public Health","1863523"
"north west","Public Health","1784611"
"gauteng","Public Health","5833010"
"mpumalanga","Private Health","406309"
"mpumalanga","Public Health","1928008"
"northern cape","Private Health","157994"
"eastern cape","Private Health","694032"
"western cape","Public Health","3680537"
"limpopo","Public Health","3142187"
"free state","Private Health","400220"
"eastern cape","Public Health","3545101"
