"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920358"
"Janssen Vaccines & Prevention B.V","free state","Adults","488330"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1555867"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1250824"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1083512"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","833630"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216525"
"Janssen Vaccines & Prevention B.V","north west","Adults","715516"
"Janssen Vaccines & Prevention B.V","western cape","Adults","753989"
"Pfizer","eastern cape","12-17 Years","116382"
"Pfizer","eastern cape","Adults","1138253"
"Pfizer","free state","12-17 Years","80149"
"Pfizer","free state","Adults","598278"
"Pfizer","gauteng","12-17 Years","170504"
"Pfizer","gauteng","Adults","3409158"
"Pfizer","kwazulu-natal","12-17 Years","133857"
"Pfizer","kwazulu-natal","Adults","1664385"
"Pfizer","limpopo","12-17 Years","99262"
"Pfizer","limpopo","Adults","884165"
"Pfizer","mpumalanga","12-17 Years","52592"
"Pfizer","mpumalanga","Adults","478256"
"Pfizer","northern cape","12-17 Years","14804"
"Pfizer","northern cape","Adults","195074"
"Pfizer","north west","12-17 Years","52773"
"Pfizer","north west","Adults","542177"
"Pfizer","western cape","12-17 Years","54227"
"Pfizer","western cape","Adults","1870984"
