"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","229"
"eastern cape","Public Health","1738"
"free state","Private Health","110"
"free state","Public Health","931"
"gauteng","Private Health","1476"
"gauteng","Public Health","1627"
"kwazulu-natal","Private Health","328"
"kwazulu-natal","Public Health","1817"
"limpopo","Private Health","185"
"limpopo","Public Health","698"
"mpumalanga","Private Health","247"
"mpumalanga","Public Health","1385"
"northern cape","Private Health","48"
"northern cape","Public Health","586"
"north west","Private Health","116"
"north west","Public Health","412"
"western cape","Private Health","462"
"western cape","Public Health","753"
