"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","530707"
"kwazulu-natal","Private Health","1220111"
"western cape","Private Health","1895416"
"limpopo","Private Health","594204"
"northern cape","Public Health","582545"
"gauteng","Private Health","4499317"
"kwazulu-natal","Public Health","4524204"
"free state","Public Health","1815786"
"north west","Public Health","1757350"
"gauteng","Public Health","5736817"
"mpumalanga","Private Health","397021"
"mpumalanga","Public Health","1850517"
"northern cape","Private Health","155529"
"eastern cape","Private Health","682527"
"western cape","Public Health","3629675"
"limpopo","Public Health","3074140"
"free state","Private Health","393870"
"eastern cape","Public Health","3419182"
