"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10599","5108","15707"
"National","eastern cape","Private Health","Male","8920","3936","12856"
"National","eastern cape","Public Health","Female","144450","50489","194939"
"National","eastern cape","Public Health","Male","118336","35257","153593"
"National","free state","Private Health","Female","9211","4538","13749"
"National","free state","Private Health","Male","7543","3451","10994"
"National","free state","Public Health","Female","84112","39577","123689"
"National","free state","Public Health","Male","71840","29565","101405"
"National","gauteng","Private Health","Female","53900","29929","83829"
"National","gauteng","Private Health","Male","49506","25614","75120"
"National","gauteng","Public Health","Female","163946","65235","229181"
"National","gauteng","Public Health","Male","129364","47715","177079"
"National","kwazulu-natal","Private Health","Female","17347","9683","27030"
"National","kwazulu-natal","Private Health","Male","15678","8235","23913"
"National","kwazulu-natal","Public Health","Female","155890","62990","218880"
"National","kwazulu-natal","Public Health","Male","106106","38449","144555"
"National","limpopo","Private Health","Female","11875","5128","17003"
"National","limpopo","Private Health","Male","9229","3578","12807"
"National","limpopo","Public Health","Female","141322","47036","188358"
"National","limpopo","Public Health","Male","122691","35194","157885"
"National","mpumalanga","Private Health","Female","4049","1710","5759"
"National","mpumalanga","Private Health","Male","3530","1490","5020"
"National","mpumalanga","Public Health","Female","75499","25195","100694"
"National","mpumalanga","Public Health","Male","62752","17570","80322"
"National","northern cape","Private Health","Female","2149","1058","3207"
"National","northern cape","Private Health","Male","1978","797","2775"
"National","northern cape","Public Health","Female","16973","5443","22416"
"National","northern cape","Public Health","Male","13291","4025","17316"
"National","north west","Private Health","Female","5282","2437","7719"
"National","north west","Private Health","Male","4759","2028","6787"
"National","north west","Public Health","Female","79264","27795","107059"
"National","north west","Public Health","Male","65607","20001","85608"
"National","western cape","Private Health","Female","23726","12561","36287"
"National","western cape","Private Health","Male","21346","10874","32220"
"National","western cape","Public Health","Female","47388","15780","63168"
"National","western cape","Public Health","Male","39419","12885","52304"
