"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","103122"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","120035"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72237"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107682"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51481"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","166117"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","212412"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90963"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81347"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76105"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153688"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144833"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33432"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","328782"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","562223"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102889"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","469721"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","108155"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80198"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","346391"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58823"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","64061"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102917"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67835"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","142050"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102881"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97657"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","97120"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98927"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","275583"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","245780"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","187311"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","245334"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","136971"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","417197"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","189685"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232759"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","72008"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41918"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16383"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28292"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","59584"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","297747"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109475"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","201282"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110607"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","435337"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121736"
"Janssen Vaccines & Prevention B.V","western cape","Central Karoo DM","Adults","6839"
"Janssen Vaccines & Prevention B.V","western cape","Garden Route DM","Adults","78235"
"Janssen Vaccines & Prevention B.V","western cape","Overberg DM","Adults","47550"
"Janssen Vaccines & Prevention B.V","western cape","West Coast DM","Adults","68739"
"Pfizer","eastern cape","Amathole DM","12-17 Years","10122"
"Pfizer","eastern cape","Amathole DM","Adults","149011"
"Pfizer","eastern cape","A Nzo DM","12-17 Years","30820"
"Pfizer","eastern cape","A Nzo DM","Adults","104623"
"Pfizer","eastern cape","Buffalo City MM","12-17 Years","18274"
"Pfizer","eastern cape","Buffalo City MM","Adults","214469"
"Pfizer","eastern cape","C Hani DM","12-17 Years","6417"
"Pfizer","eastern cape","C Hani DM","Adults","119067"
"Pfizer","eastern cape","Joe Gqabi DM","12-17 Years","5484"
"Pfizer","eastern cape","Joe Gqabi DM","Adults","56062"
"Pfizer","eastern cape","N Mandela Bay MM","12-17 Years","14857"
"Pfizer","eastern cape","N Mandela Bay MM","Adults","276524"
"Pfizer","eastern cape","O Tambo DM","12-17 Years","29938"
"Pfizer","eastern cape","O Tambo DM","Adults","137519"
"Pfizer","eastern cape","Sarah Baartman DM","12-17 Years","11266"
"Pfizer","eastern cape","Sarah Baartman DM","Adults","93902"
"Pfizer","free state","Fezile Dabi DM","12-17 Years","9266"
"Pfizer","free state","Fezile Dabi DM","Adults","94041"
"Pfizer","free state","Lejweleputswa DM","12-17 Years","11530"
"Pfizer","free state","Lejweleputswa DM","Adults","154379"
"Pfizer","free state","Mangaung MM","12-17 Years","28414"
"Pfizer","free state","Mangaung MM","Adults","202094"
"Pfizer","free state","T Mofutsanyana DM","12-17 Years","29061"
"Pfizer","free state","T Mofutsanyana DM","Adults","138206"
"Pfizer","free state","Xhariep DM","12-17 Years","2009"
"Pfizer","free state","Xhariep DM","Adults","14314"
"Pfizer","gauteng","Ekurhuleni MM","12-17 Years","38497"
"Pfizer","gauteng","Ekurhuleni MM","Adults","809269"
"Pfizer","gauteng","Johannesburg MM","12-17 Years","55314"
"Pfizer","gauteng","Johannesburg MM","Adults","1495320"
"Pfizer","gauteng","Sedibeng DM","12-17 Years","12068"
"Pfizer","gauteng","Sedibeng DM","Adults","155402"
"Pfizer","gauteng","Tshwane MM","12-17 Years","44263"
"Pfizer","gauteng","Tshwane MM","Adults","732331"
"Pfizer","gauteng","West Rand DM","12-17 Years","18083"
"Pfizer","gauteng","West Rand DM","Adults","235300"
"Pfizer","kwazulu-natal","Amajuba DM","12-17 Years","4685"
"Pfizer","kwazulu-natal","Amajuba DM","Adults","50137"
"Pfizer","kwazulu-natal","eThekwini MM","12-17 Years","22950"
"Pfizer","kwazulu-natal","eThekwini MM","Adults","771605"
