"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538443"
"kwazulu-natal","Private Health","1238427"
"western cape","Private Health","1924572"
"limpopo","Private Health","611880"
"northern cape","Public Health","616684"
"gauteng","Private Health","4588054"
"kwazulu-natal","Public Health","4698254"
"mpumalanga","","21"
"free state","Public Health","1878134"
"north west","Public Health","1801939"
"gauteng","Public Health","5886868"
"mpumalanga","Private Health","406915"
"mpumalanga","Public Health","1957095"
"western cape","","3"
"northern cape","Private Health","158463"
"eastern cape","Private Health","695478"
"western cape","Public Health","3705188"
"limpopo","Public Health","3186299"
"limpopo","","2"
"free state","Private Health","402172"
"eastern cape","Public Health","3612540"
