"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","530373"
"kwazulu-natal","Private Health","1219281"
"western cape","Private Health","1894180"
"limpopo","Private Health","593873"
"northern cape","Public Health","581665"
"gauteng","Private Health","4495719"
"kwazulu-natal","Public Health","4519648"
"free state","Public Health","1814131"
"north west","Public Health","1756230"
"gauteng","Public Health","5733855"
"mpumalanga","Private Health","396694"
"mpumalanga","Public Health","1848097"
"northern cape","Private Health","155430"
"eastern cape","Private Health","682175"
"western cape","Public Health","3628238"
"limpopo","Public Health","3072029"
"free state","Private Health","393564"
"eastern cape","Public Health","3416504"
