"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535827"
"kwazulu-natal","Private Health","1233879"
"western cape","Private Health","1917733"
"limpopo","Private Health","606405"
"northern cape","Public Health","605919"
"gauteng","Private Health","4559989"
"kwazulu-natal","Public Health","4642140"
"free state","Public Health","1855456"
"north west","Public Health","1780630"
"gauteng","Public Health","5814157"
"mpumalanga","Private Health","405590"
"mpumalanga","Public Health","1916144"
"northern cape","Private Health","157548"
"eastern cape","Private Health","693021"
"western cape","Public Health","3670445"
"limpopo","Public Health","3127987"
"free state","Private Health","399131"
"eastern cape","Public Health","3514151"
