"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","156","38","194"
"National","eastern cape","Amathole DM","Private Health","Male","98","19","117"
"National","eastern cape","Amathole DM","Public Health","Female","13845","4522","18367"
"National","eastern cape","Amathole DM","Public Health","Male","11727","3773","15500"
"National","eastern cape","A Nzo DM","Public Health","Female","29806","14172","43978"
"National","eastern cape","A Nzo DM","Public Health","Male","25777","10522","36299"
"National","eastern cape","Buffalo City MM","Private Health","Female","2903","1196","4099"
"National","eastern cape","Buffalo City MM","Private Health","Male","2363","913","3276"
"National","eastern cape","Buffalo City MM","Public Health","Female","16080","8994","25074"
"National","eastern cape","Buffalo City MM","Public Health","Male","12372","6128","18500"
"National","eastern cape","C Hani DM","Private Health","Female","227","103","330"
"National","eastern cape","C Hani DM","Private Health","Male","162","74","236"
"National","eastern cape","C Hani DM","Public Health","Female","14037","3630","17667"
"National","eastern cape","C Hani DM","Public Health","Male","11280","2640","13920"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","663","368","1031"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","511","219","730"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7895","2700","10595"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7068","2147","9215"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4164","2091","6255"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3733","1737","5470"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15740","6433","22173"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12248","4515","16763"
"National","eastern cape","O Tambo DM","Private Health","Female","317","122","439"
"National","eastern cape","O Tambo DM","Private Health","Male","254","113","367"
"National","eastern cape","O Tambo DM","Public Health","Female","43838","16741","60579"
"National","eastern cape","O Tambo DM","Public Health","Male","36634","12424","49058"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1598","1095","2693"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1384","828","2212"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9668","5340","15008"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8136","3952","12088"
"National","free state","Fezile Dabi DM","Private Health","Female","475","346","821"
"National","free state","Fezile Dabi DM","Private Health","Male","451","287","738"
"National","free state","Fezile Dabi DM","Public Health","Female","13330","4944","18274"
"National","free state","Fezile Dabi DM","Public Health","Male","10837","3578","14415"
"National","free state","Lejweleputswa DM","Private Health","Female","3838","1476","5314"
"National","free state","Lejweleputswa DM","Private Health","Male","3072","1110","4182"
"National","free state","Lejweleputswa DM","Public Health","Female","14194","5284","19478"
"National","free state","Lejweleputswa DM","Public Health","Male","12149","3711","15860"
"National","free state","Mangaung MM","Private Health","Female","2915","1699","4614"
"National","free state","Mangaung MM","Private Health","Male","2422","1292","3714"
"National","free state","Mangaung MM","Public Health","Female","23688","13938","37626"
"National","free state","Mangaung MM","Public Health","Male","21143","11203","32346"
"National","free state","T Mofutsanyana DM","Private Health","Female","1879","1143","3022"
"National","free state","T Mofutsanyana DM","Private Health","Male","1599","926","2525"
"National","free state","T Mofutsanyana DM","Public Health","Female","27094","15504","42598"
"National","free state","T Mofutsanyana DM","Public Health","Male","23228","11641","34869"
"National","free state","Xhariep DM","Public Health","Female","4304","1198","5502"
"National","free state","Xhariep DM","Public Health","Male","3525","796","4321"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10967","6678","17645"
"National","gauteng","Ekurhuleni MM","Private Health","Male","10090","5661","15751"
"National","gauteng","Ekurhuleni MM","Public Health","Female","41220","15387","56607"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32507","11162","43669"
"National","gauteng","Johannesburg MM","Private Health","Female","25649","13893","39542"
"National","gauteng","Johannesburg MM","Private Health","Male","23429","12040","35469"
"National","gauteng","Johannesburg MM","Public Health","Female","46824","16950","63774"
"National","gauteng","Johannesburg MM","Public Health","Male","37851","13203","51054"
"National","gauteng","Sedibeng DM","Private Health","Female","1615","1029","2644"
