"province","health_sector","total_number_vaccines_administered"
"gauteng","","2"
"north west","Private Health","537369"
"kwazulu-natal","Private Health","1237149"
"western cape","Private Health","1922853"
"limpopo","Private Health","609647"
"northern cape","Public Health","609969"
"gauteng","Private Health","4576978"
"kwazulu-natal","Public Health","4670104"
"free state","Public Health","1867719"
"north west","Public Health","1788123"
"gauteng","Public Health","5844809"
"mpumalanga","Private Health","406598"
"mpumalanga","Public Health","1934698"
"northern cape","Private Health","158143"
"eastern cape","Private Health","694424"
"western cape","Public Health","3686382"
"limpopo","Public Health","3150125"
"free state","Private Health","400907"
"eastern cape","Public Health","3557470"
