"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10682","4848","15530"
"National","eastern cape","Private Health","Male","8879","3704","12583"
"National","eastern cape","Public Health","Female","124581","31516","156097"
"National","eastern cape","Public Health","Male","100309","20896","121205"
"National","free state","Private Health","Female","8914","3932","12846"
"National","free state","Private Health","Male","7269","2997","10266"
"National","free state","Public Health","Female","78640","32203","110843"
"National","free state","Public Health","Male","66802","23454","90256"
"National","gauteng","Private Health","Female","54171","28565","82736"
"National","gauteng","Private Health","Male","49203","24251","73454"
"National","gauteng","Public Health","Female","148975","50934","199909"
"National","gauteng","Public Health","Male","117619","37336","154955"
"National","kwazulu-natal","Private Health","Female","17468","9354","26822"
"National","kwazulu-natal","Private Health","Male","15746","7877","23623"
"National","kwazulu-natal","Public Health","Female","125493","38949","164442"
"National","kwazulu-natal","Public Health","Male","85069","23607","108676"
"National","limpopo","Private Health","Female","10901","4495","15396"
"National","limpopo","Private Health","Male","8512","3225","11737"
"National","limpopo","Public Health","Female","117109","33391","150500"
"National","limpopo","Public Health","Male","98378","24999","123377"
"National","mpumalanga","Private Health","Female","4029","1596","5625"
"National","mpumalanga","Private Health","Male","3518","1380","4898"
"National","mpumalanga","Public Health","Female","65783","17036","82819"
"National","mpumalanga","Public Health","Male","55244","12294","67538"
"National","northern cape","Private Health","Female","2135","994","3129"
"National","northern cape","Private Health","Male","1941","732","2673"
"National","northern cape","Public Health","Female","12267","3485","15752"
"National","northern cape","Public Health","Male","9812","2615","12427"
"National","north west","Private Health","Female","5260","2323","7583"
"National","north west","Private Health","Male","4736","1944","6680"
"National","north west","Public Health","Female","73495","21884","95379"
"National","north west","Public Health","Male","60695","15637","76332"
"National","western cape","Private Health","Female","23685","11721","35406"
"National","western cape","Private Health","Male","21115","9958","31073"
"National","western cape","Public Health","Female","46615","14827","61442"
"National","western cape","Public Health","Male","38668","12087","50755"
