"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","513941"
"kwazulu-natal","Private Health","1189092"
"western cape","Private Health","1843632"
"limpopo","Private Health","572888"
"northern cape","Public Health","545844"
"gauteng","Private Health","4372066"
"kwazulu-natal","Public Health","4232650"
"free state","Public Health","1725529"
"north west","Public Health","1678218"
"gauteng","Public Health","5510271"
"mpumalanga","Private Health","384787"
"mpumalanga","Public Health","1728051"
"northern cape","Private Health","150579"
"eastern cape","Private Health","663627"
"western cape","Public Health","3543021"
"limpopo","Public Health","2886345"
"free state","Private Health","378287"
"eastern cape","Public Health","3209585"
