"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","892288"
"Janssen Vaccines & Prevention B.V","free state","Adults","475425"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1485841"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1195005"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1053356"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","787986"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","209307"
"Janssen Vaccines & Prevention B.V","north west","Adults","697831"
"Janssen Vaccines & Prevention B.V","western cape","Adults","733128"
"Pfizer","eastern cape","12-17 Years","60964"
"Pfizer","eastern cape","Adults","1086411"
"Pfizer","free state","12-17 Years","62586"
"Pfizer","free state","Adults","570881"
"Pfizer","gauteng","12-17 Years","141086"
"Pfizer","gauteng","Adults","3292125"
"Pfizer","kwazulu-natal","12-17 Years","79787"
"Pfizer","kwazulu-natal","Adults","1575294"
"Pfizer","limpopo","12-17 Years","66110"
"Pfizer","limpopo","Adults","848946"
"Pfizer","mpumalanga","12-17 Years","32306"
"Pfizer","mpumalanga","Adults","451205"
"Pfizer","northern cape","12-17 Years","7826"
"Pfizer","northern cape","Adults","185995"
"Pfizer","north west","12-17 Years","41788"
"Pfizer","north west","Adults","522242"
"Pfizer","western cape","12-17 Years","48593"
"Pfizer","western cape","Adults","1827993"
