"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535207"
"kwazulu-natal","Private Health","1232664"
"western cape","Private Health","1914053"
"limpopo","Private Health","603952"
"northern cape","Public Health","604846"
"gauteng","Private Health","4553482"
"kwazulu-natal","Public Health","4629620"
"free state","Public Health","1850938"
"north west","Public Health","1778477"
"gauteng","Public Health","5804232"
"mpumalanga","Private Health","405072"
"mpumalanga","Public Health","1909669"
"northern cape","Private Health","157246"
"eastern cape","Private Health","690967"
"western cape","Public Health","3664883"
"limpopo","Public Health","3120493"
"free state","Private Health","398613"
"eastern cape","Public Health","3502489"
