"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","86"
"eastern cape","Public Health","2262"
"free state","Private Health","69"
"free state","Public Health","602"
"gauteng","Private Health","762"
"gauteng","Public Health","1282"
"kwazulu-natal","Private Health","145"
"kwazulu-natal","Public Health","1724"
"limpopo","Private Health","197"
"limpopo","Public Health","1241"
"mpumalanga","Private Health","185"
"mpumalanga","Public Health","1154"
"northern cape","Private Health","10"
"northern cape","Public Health","41"
"north west","Private Health","54"
"north west","Public Health","267"
"western cape","Private Health","253"
"western cape","Public Health","585"
