"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","122"
"Janssen Vaccines & Prevention B.V","free state","Adults","47"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","379"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","304"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","172"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","252"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","13"
"Janssen Vaccines & Prevention B.V","north west","Adults","67"
"Janssen Vaccines & Prevention B.V","western cape","Adults","66"
"Pfizer","eastern cape","12-17 Years","659"
"Pfizer","eastern cape","Adults","282"
"Pfizer","free state","12-17 Years","26"
"Pfizer","free state","Adults","158"
"Pfizer","gauteng","12-17 Years","65"
"Pfizer","gauteng","Adults","425"
"Pfizer","kwazulu-natal","12-17 Years","314"
"Pfizer","kwazulu-natal","Adults","325"
"Pfizer","limpopo","12-17 Years","210"
"Pfizer","limpopo","Adults","141"
"Pfizer","mpumalanga","12-17 Years","135"
"Pfizer","mpumalanga","Adults","156"
"Pfizer","northern cape","12-17 Years","3"
"Pfizer","northern cape","Adults","5"
"Pfizer","north west","12-17 Years","20"
"Pfizer","north west","Adults","42"
"Pfizer","western cape","12-17 Years","55"
"Pfizer","western cape","Adults","163"
