"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","517262"
"kwazulu-natal","Private Health","1193759"
"western cape","Private Health","1851424"
"limpopo","Private Health","576274"
"northern cape","Public Health","550615"
"gauteng","Private Health","4391244"
"kwazulu-natal","Public Health","4268647"
"free state","Public Health","1739623"
"north west","Public Health","1690539"
"gauteng","Public Health","5544630"
"mpumalanga","Private Health","386523"
"mpumalanga","Public Health","1745488"
"northern cape","Private Health","151290"
"eastern cape","Private Health","666519"
"western cape","Public Health","3556111"
"limpopo","Public Health","2915545"
"free state","Private Health","380268"
"eastern cape","Public Health","3244802"
