"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","23"
"eastern cape","Public Health","810"
"free state","Private Health","28"
"free state","Public Health","242"
"gauteng","Private Health","277"
"gauteng","Public Health","808"
"kwazulu-natal","Private Health","31"
"kwazulu-natal","Public Health","543"
"limpopo","Private Health","54"
"limpopo","Public Health","758"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","340"
"northern cape","Private Health","11"
"northern cape","Public Health","93"
"north west","Private Health","13"
"north west","Public Health","224"
"western cape","Private Health","44"
"western cape","Public Health","277"
