"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","523"
"eastern cape","Public Health","6766"
"free state","Private Health","536"
"free state","Public Health","3305"
"gauteng","Private Health","3180"
"gauteng","Public Health","7275"
"kwazulu-natal","Private Health","706"
"kwazulu-natal","Public Health","6654"
"limpopo","Private Health","848"
"limpopo","Public Health","7073"
"mpumalanga","Private Health","496"
"mpumalanga","Public Health","4505"
"northern cape","Private Health","157"
"northern cape","Public Health","1262"
"north west","Private Health","436"
"north west","Public Health","2750"
"western cape","Private Health","1375"
"western cape","Public Health","2307"
