"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10681","4919","15600"
"National","eastern cape","Private Health","Male","8919","3750","12669"
"National","eastern cape","Public Health","Female","132017","36907","168924"
"National","eastern cape","Public Health","Male","106398","24848","131246"
"National","free state","Private Health","Female","9018","4124","13142"
"National","free state","Private Health","Male","7372","3153","10525"
"National","free state","Public Health","Female","80335","34488","114823"
"National","free state","Public Health","Male","68329","25270","93599"
"National","gauteng","Private Health","Female","54208","28982","83190"
"National","gauteng","Private Health","Male","49341","24617","73958"
"National","gauteng","Public Health","Female","153169","56014","209183"
"National","gauteng","Public Health","Male","120776","40802","161578"
"National","kwazulu-natal","Private Health","Female","17491","9468","26959"
"National","kwazulu-natal","Private Health","Male","15761","7981","23742"
"National","kwazulu-natal","Public Health","Female","131872","45805","177677"
"National","kwazulu-natal","Public Health","Male","89397","27366","116763"
"National","limpopo","Private Health","Female","11126","4565","15691"
"National","limpopo","Private Health","Male","8675","3278","11953"
"National","limpopo","Public Health","Female","123037","36708","159745"
"National","limpopo","Public Health","Male","103708","27221","130929"
"National","mpumalanga","Private Health","Female","4027","1631","5658"
"National","mpumalanga","Private Health","Male","3521","1402","4923"
"National","mpumalanga","Public Health","Female","68697","19066","87763"
"National","mpumalanga","Public Health","Male","57390","13640","71030"
"National","northern cape","Private Health","Female","2152","1005","3157"
"National","northern cape","Private Health","Male","1947","746","2693"
"National","northern cape","Public Health","Female","13579","3875","17454"
"National","northern cape","Public Health","Male","10744","2919","13663"
"National","north west","Private Health","Female","5269","2352","7621"
"National","north west","Private Health","Male","4745","1958","6703"
"National","north west","Public Health","Female","75628","23619","99247"
"National","north west","Public Health","Male","62252","16867","79119"
"National","western cape","Private Health","Female","23711","11849","35560"
"National","western cape","Private Health","Male","21170","10115","31285"
"National","western cape","Public Health","Female","46772","15081","61853"
"National","western cape","Public Health","Male","38772","12270","51042"
