"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","519999"
"kwazulu-natal","Private Health","1198194"
"western cape","Private Health","1858615"
"limpopo","Private Health","578652"
"northern cape","Public Health","554513"
"gauteng","Private Health","4408683"
"kwazulu-natal","Public Health","4299882"
"free state","Public Health","1749744"
"north west","Public Health","1699751"
"gauteng","Public Health","5571142"
"mpumalanga","Private Health","387879"
"mpumalanga","Public Health","1757020"
"northern cape","Private Health","152075"
"eastern cape","Private Health","669142"
"western cape","Public Health","3566173"
"limpopo","Public Health","2934915"
"free state","Private Health","382563"
"eastern cape","Public Health","3267992"
