"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","897819"
"Janssen Vaccines & Prevention B.V","free state","Adults","477877"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1496616"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1202811"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1058749"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","794252"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","210378"
"Janssen Vaccines & Prevention B.V","north west","Adults","701523"
"Janssen Vaccines & Prevention B.V","western cape","Adults","736399"
"Pfizer","eastern cape","12-17 Years","70424"
"Pfizer","eastern cape","Adults","1092966"
"Pfizer","free state","12-17 Years","67035"
"Pfizer","free state","Adults","574345"
"Pfizer","gauteng","12-17 Years","150415"
"Pfizer","gauteng","Adults","3309848"
"Pfizer","kwazulu-natal","12-17 Years","90620"
"Pfizer","kwazulu-natal","Adults","1587112"
"Pfizer","limpopo","12-17 Years","71772"
"Pfizer","limpopo","Adults","854355"
"Pfizer","mpumalanga","12-17 Years","35739"
"Pfizer","mpumalanga","Adults","454153"
"Pfizer","northern cape","12-17 Years","8545"
"Pfizer","northern cape","Adults","187081"
"Pfizer","north west","12-17 Years","44796"
"Pfizer","north west","Adults","525606"
"Pfizer","western cape","12-17 Years","49315"
"Pfizer","western cape","Adults","1834136"
