"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","18"
"eastern cape","Public Health","2350"
"free state","Private Health","57"
"free state","Public Health","526"
"gauteng","Private Health","220"
"gauteng","Public Health","1169"
"kwazulu-natal","Private Health","49"
"kwazulu-natal","Public Health","947"
"limpopo","Private Health","117"
"limpopo","Public Health","955"
"mpumalanga","Private Health","25"
"mpumalanga","Public Health","614"
"northern cape","Private Health","5"
"northern cape","Public Health","148"
"north west","Private Health","51"
"north west","Public Health","224"
"western cape","Private Health","104"
"western cape","Public Health","479"
