"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923710"
"eastern cape","Pfizer","1366040"
"free state","Johnson & Johnson","489344"
"free state","Pfizer","686117"
"gauteng","Johnson & Johnson","1570464"
"gauteng","Pfizer","3953441"
"kwazulu-natal","Johnson & Johnson","1258330"
"kwazulu-natal","Pfizer","2013690"
"limpopo","Johnson & Johnson","1090577"
"limpopo","Pfizer","1063381"
"mpumalanga","Johnson & Johnson","839261"
"mpumalanga","Pfizer","587185"
"northern cape","Johnson & Johnson","218043"
"northern cape","Pfizer","230169"
"north west","Johnson & Johnson","718759"
"north west","Pfizer","632393"
"western cape","Johnson & Johnson","758046"
"western cape","Pfizer","2137682"
