"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538367"
"kwazulu-natal","Private Health","1238357"
"western cape","Private Health","1924391"
"limpopo","Private Health","611700"
"northern cape","Public Health","615779"
"gauteng","Private Health","4587221"
"kwazulu-natal","Public Health","4695685"
"mpumalanga","","20"
"free state","Public Health","1877197"
"north west","Public Health","1800171"
"gauteng","Public Health","5882239"
"mpumalanga","Private Health","406907"
"mpumalanga","Public Health","1955167"
"western cape","","2"
"northern cape","Private Health","158441"
"eastern cape","Private Health","695450"
"western cape","Public Health","3703232"
"limpopo","Public Health","3182971"
"limpopo","","2"
"free state","Private Health","402096"
"eastern cape","Public Health","3605931"
