"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","69","0","116","185"
"Janssen Vaccines & Prevention B.V","free state","Adults","18","0","46","64"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","379","0","193","572"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","120","0","90","210"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","340","0","297","637"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","157","0","164","321"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","68","0","40","108"
"Janssen Vaccines & Prevention B.V","north west","Adults","94","0","114","208"
"Janssen Vaccines & Prevention B.V","western cape","Adults","72","0","48","120"
"Pfizer","eastern cape","12-17 Years","562","654","0","1216"
"Pfizer","eastern cape","Adults","194","237","275","706"
"Pfizer","free state","12-17 Years","23","135","0","158"
"Pfizer","free state","Adults","46","99","103","248"
"Pfizer","gauteng","12-17 Years","83","66","0","149"
"Pfizer","gauteng","Adults","243","260","257","760"
"Pfizer","kwazulu-natal","12-17 Years","53","10","0","63"
"Pfizer","kwazulu-natal","Adults","197","178","127","502"
"Pfizer","limpopo","12-17 Years","123","91","0","214"
"Pfizer","limpopo","Adults","209","161","154","524"
"Pfizer","mpumalanga","12-17 Years","110","186","0","296"
"Pfizer","mpumalanga","Adults","104","139","83","326"
"Pfizer","northern cape","12-17 Years","24","28","0","52"
"Pfizer","northern cape","Adults","38","34","24","96"
"Pfizer","north west","12-17 Years","17","27","0","44"
"Pfizer","north west","Adults","56","41","52","149"
"Pfizer","western cape","12-17 Years","62","100","0","162"
"Pfizer","western cape","Adults","91","93","119","303"
