"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","26"
"eastern cape","Public Health","2081"
"free state","Private Health","124"
"free state","Public Health","346"
"gauteng","Private Health","199"
"gauteng","Public Health","1282"
"kwazulu-natal","Private Health","23"
"kwazulu-natal","Public Health","752"
"limpopo","Private Health","50"
"limpopo","Public Health","1325"
"mpumalanga","Private Health","37"
"mpumalanga","Public Health","905"
"mpumalanga","","1"
"northern cape","Private Health","20"
"northern cape","Public Health","236"
"north west","Private Health","38"
"north west","Public Health","363"
"western cape","Private Health","14"
"western cape","Public Health","571"
