"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","907834"
"eastern cape","Pfizer","1321088"
"free state","Johnson & Johnson","482699"
"free state","Pfizer","665250"
"gauteng","Johnson & Johnson","1520222"
"gauteng","Pfizer","3871809"
"kwazulu-natal","Johnson & Johnson","1221585"
"kwazulu-natal","Pfizer","1949398"
"limpopo","Johnson & Johnson","1070574"
"limpopo","Pfizer","1029262"
"mpumalanga","Johnson & Johnson","808707"
"mpumalanga","Pfizer","561982"
"northern cape","Johnson & Johnson","212640"
"northern cape","Pfizer","222032"
"north west","Johnson & Johnson","708006"
"north west","Pfizer","615029"
"western cape","Johnson & Johnson","743518"
"western cape","Pfizer","2106780"
