"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","527970"
"kwazulu-natal","Private Health","1214037"
"western cape","Private Health","1885520"
"limpopo","Private Health","590365"
"northern cape","Public Health","575154"
"gauteng","Private Health","4474209"
"kwazulu-natal","Public Health","4467520"
"free state","Public Health","1799794"
"north west","Public Health","1743636"
"gauteng","Public Health","5695803"
"mpumalanga","Private Health","393948"
"mpumalanga","Public Health","1823089"
"northern cape","Private Health","154672"
"eastern cape","Private Health","679134"
"western cape","Public Health","3612785"
"limpopo","Public Health","3037315"
"free state","Private Health","391369"
"eastern cape","Public Health","3382350"
