"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","907834"
"Janssen Vaccines & Prevention B.V","free state","Adults","482699"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1520222"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1221586"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1070574"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","808707"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","212640"
"Janssen Vaccines & Prevention B.V","north west","Adults","708006"
"Janssen Vaccines & Prevention B.V","western cape","Adults","743518"
"Pfizer","eastern cape","12-17 Years","90847"
"Pfizer","eastern cape","Adults","1107797"
"Pfizer","free state","12-17 Years","75377"
"Pfizer","free state","Adults","582460"
"Pfizer","gauteng","12-17 Years","164339"
"Pfizer","gauteng","Adults","3347559"
"Pfizer","kwazulu-natal","12-17 Years","113640"
"Pfizer","kwazulu-natal","Adults","1616105"
"Pfizer","limpopo","12-17 Years","86205"
"Pfizer","limpopo","Adults","865262"
"Pfizer","mpumalanga","12-17 Years","43874"
"Pfizer","mpumalanga","Adults","461461"
"Pfizer","northern cape","12-17 Years","10780"
"Pfizer","northern cape","Adults","189762"
"Pfizer","north west","12-17 Years","51138"
"Pfizer","north west","Adults","532000"
"Pfizer","western cape","12-17 Years","51037"
"Pfizer","western cape","Adults","1847415"
