"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","87"
"Janssen Vaccines & Prevention B.V","free state","Adults","45"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","305"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","138"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","99"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","99"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","15"
"Janssen Vaccines & Prevention B.V","north west","Adults","42"
"Janssen Vaccines & Prevention B.V","western cape","Adults","76"
"Pfizer","eastern cape","12-17 Years","454"
"Pfizer","eastern cape","Adults","256"
"Pfizer","free state","12-17 Years","66"
"Pfizer","free state","Adults","72"
"Pfizer","gauteng","12-17 Years","74"
"Pfizer","gauteng","Adults","307"
"Pfizer","kwazulu-natal","12-17 Years","31"
"Pfizer","kwazulu-natal","Adults","201"
"Pfizer","limpopo","12-17 Years","159"
"Pfizer","limpopo","Adults","96"
"Pfizer","mpumalanga","12-17 Years","203"
"Pfizer","mpumalanga","Adults","87"
"Pfizer","northern cape","12-17 Years","19"
"Pfizer","northern cape","Adults","23"
"Pfizer","north west","12-17 Years","16"
"Pfizer","north west","Adults","30"
"Pfizer","western cape","12-17 Years","26"
"Pfizer","western cape","Adults","101"
