"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","14"
"eastern cape","Public Health","1940"
"free state","Private Health","45"
"free state","Public Health","423"
"gauteng","Private Health","339"
"gauteng","Public Health","1071"
"kwazulu-natal","Private Health","94"
"kwazulu-natal","Public Health","767"
"limpopo","Private Health","75"
"limpopo","Public Health","847"
"mpumalanga","Private Health","50"
"mpumalanga","Public Health","764"
"northern cape","Private Health","8"
"northern cape","Public Health","142"
"north west","Private Health","25"
"north west","Public Health","181"
"western cape","Private Health","96"
"western cape","Public Health","491"
