"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","5"
"eastern cape","Public Health","70"
"free state","Public Health","2"
"gauteng","Private Health","107"
"gauteng","Public Health","31"
"kwazulu-natal","Private Health","1"
"kwazulu-natal","Public Health","67"
"limpopo","Private Health","33"
"limpopo","Public Health","191"
"mpumalanga","Public Health","22"
"northern cape","Private Health","5"
"northern cape","Public Health","33"
"north west","Private Health","1"
"north west","Public Health","27"
"western cape","Private Health","7"
"western cape","Public Health","67"
