"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","903204"
"eastern cape","Pfizer","1315076"
"free state","Johnson & Johnson","480266"
"free state","Pfizer","661986"
"gauteng","Johnson & Johnson","1508091"
"gauteng","Pfizer","3855407"
"kwazulu-natal","Johnson & Johnson","1213331"
"kwazulu-natal","Pfizer","1936437"
"limpopo","Johnson & Johnson","1064401"
"limpopo","Pfizer","1024020"
"mpumalanga","Johnson & Johnson","801011"
"mpumalanga","Pfizer","558078"
"northern cape","Johnson & Johnson","211421"
"northern cape","Pfizer","220590"
"north west","Johnson & Johnson","704922"
"north west","Pfizer","611987"
"western cape","Johnson & Johnson","739474"
"western cape","Pfizer","2100834"
