"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10672","5008","15680"
"National","eastern cape","Private Health","Male","8920","3851","12771"
"National","eastern cape","Public Health","Female","139080","42890","181970"
"National","eastern cape","Public Health","Male","112974","29052","142026"
"National","free state","Private Health","Female","9208","4259","13467"
"National","free state","Private Health","Male","7464","3255","10719"
"National","free state","Public Health","Female","82291","37083","119374"
"National","free state","Public Health","Male","70057","27359","97416"
"National","gauteng","Private Health","Female","54180","29351","83531"
"National","gauteng","Private Health","Male","49403","24962","74365"
"National","gauteng","Public Health","Female","158569","60724","219293"
"National","gauteng","Public Health","Male","125155","44153","169308"
"National","kwazulu-natal","Private Health","Female","17454","9543","26997"
"National","kwazulu-natal","Private Health","Male","15727","8075","23802"
"National","kwazulu-natal","Public Health","Female","143314","53220","196534"
"National","kwazulu-natal","Public Health","Male","97087","31764","128851"
"National","limpopo","Private Health","Female","11475","4777","16252"
"National","limpopo","Private Health","Male","8901","3401","12302"
"National","limpopo","Public Health","Female","129603","40704","170307"
"National","limpopo","Public Health","Male","109608","30092","139700"
"National","mpumalanga","Private Health","Female","4022","1654","5676"
"National","mpumalanga","Private Health","Male","3515","1435","4950"
"National","mpumalanga","Public Health","Female","71881","21266","93147"
"National","mpumalanga","Public Health","Male","59712","15019","74731"
"National","northern cape","Private Health","Female","2149","1020","3169"
"National","northern cape","Private Health","Male","1951","761","2712"
"National","northern cape","Public Health","Female","15354","4452","19806"
"National","northern cape","Public Health","Male","12101","3321","15422"
"National","north west","Private Health","Female","5293","2385","7678"
"National","north west","Private Health","Male","4775","1988","6763"
"National","north west","Public Health","Female","77560","25756","103316"
"National","north west","Public Health","Male","63953","18325","82278"
"National","western cape","Private Health","Female","23719","12131","35850"
"National","western cape","Private Health","Male","21227","10376","31603"
"National","western cape","Public Health","Female","46866","15299","62165"
"National","western cape","Public Health","Male","38891","12460","51351"
