"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","903204"
"Janssen Vaccines & Prevention B.V","free state","Adults","480266"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1508091"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1213332"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1064401"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","801011"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","211421"
"Janssen Vaccines & Prevention B.V","north west","Adults","704922"
"Janssen Vaccines & Prevention B.V","western cape","Adults","739474"
"Pfizer","eastern cape","12-17 Years","80801"
"Pfizer","eastern cape","Adults","1100138"
"Pfizer","free state","12-17 Years","71956"
"Pfizer","free state","Adults","578211"
"Pfizer","gauteng","12-17 Years","159190"
"Pfizer","gauteng","Adults","3328659"
"Pfizer","kwazulu-natal","12-17 Years","102602"
"Pfizer","kwazulu-natal","Adults","1602309"
"Pfizer","limpopo","12-17 Years","78974"
"Pfizer","limpopo","Adults","859599"
"Pfizer","mpumalanga","12-17 Years","39374"
"Pfizer","mpumalanga","Adults","457658"
"Pfizer","northern cape","12-17 Years","9554"
"Pfizer","northern cape","Adults","188413"
"Pfizer","north west","12-17 Years","48454"
"Pfizer","north west","Adults","528801"
"Pfizer","western cape","12-17 Years","50266"
"Pfizer","western cape","Adults","1840592"
