"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","524529"
"kwazulu-natal","Private Health","1206466"
"western cape","Private Health","1873060"
"limpopo","Private Health","585131"
"northern cape","Public Health","564926"
"gauteng","Private Health","4443353"
"kwazulu-natal","Public Health","4391949"
"free state","Public Health","1775306"
"north west","Public Health","1722786"
"gauteng","Public Health","5637526"
"mpumalanga","Private Health","391252"
"mpumalanga","Public Health","1788482"
"northern cape","Private Health","153431"
"eastern cape","Private Health","674674"
"western cape","Public Health","3588645"
"limpopo","Public Health","2983994"
"free state","Private Health","387439"
"eastern cape","Public Health","3327127"
