"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","39"
"eastern cape","Public Health","3"
"free state","Private Health","4"
"free state","Public Health","12"
"gauteng","Private Health","234"
"gauteng","Public Health","73"
"kwazulu-natal","Private Health","60"
"kwazulu-natal","Public Health","72"
"limpopo","Private Health","64"
"limpopo","Public Health","30"
"mpumalanga","Private Health","5"
"mpumalanga","Public Health","36"
"northern cape","Private Health","4"
"northern cape","Public Health","1"
"north west","Private Health","32"
"north west","Public Health","151"
"western cape","Private Health","77"
"western cape","Public Health","7"
