"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","36","188"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","14293","5239","19532"
"National","eastern cape","Amathole DM","Public Health","Male","12192","4351","16543"
"National","eastern cape","A Nzo DM","Public Health","Female","31724","16083","47807"
"National","eastern cape","A Nzo DM","Public Health","Male","27835","12370","40205"
"National","eastern cape","Buffalo City MM","Private Health","Female","2839","1168","4007"
"National","eastern cape","Buffalo City MM","Private Health","Male","2311","893","3204"
"National","eastern cape","Buffalo City MM","Public Health","Female","16317","9400","25717"
"National","eastern cape","Buffalo City MM","Public Health","Male","12804","6545","19349"
"National","eastern cape","C Hani DM","Private Health","Female","221","106","327"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13847","3620","17467"
"National","eastern cape","C Hani DM","Public Health","Male","11133","2636","13769"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","654","363","1017"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","494","217","711"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7855","2721","10576"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7020","2197","9217"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4067","2044","6111"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3678","1711","5389"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15628","6433","22061"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12184","4551","16735"
"National","eastern cape","O Tambo DM","Private Health","Female","309","119","428"
"National","eastern cape","O Tambo DM","Private Health","Male","245","112","357"
"National","eastern cape","O Tambo DM","Public Health","Female","43733","16938","60671"
"National","eastern cape","O Tambo DM","Public Health","Male","36670","12638","49308"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1572","1080","2652"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1369","821","2190"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9611","5379","14990"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8067","4002","12069"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13177","5019","18196"
"National","free state","Fezile Dabi DM","Public Health","Male","10758","3639","14397"
"National","free state","Lejweleputswa DM","Private Health","Female","3765","1449","5214"
"National","free state","Lejweleputswa DM","Private Health","Male","3013","1089","4102"
"National","free state","Lejweleputswa DM","Public Health","Female","14058","5292","19350"
"National","free state","Lejweleputswa DM","Public Health","Male","12061","3732","15793"
"National","free state","Mangaung MM","Private Health","Female","2964","1922","4886"
"National","free state","Mangaung MM","Private Health","Male","2437","1453","3890"
"National","free state","Mangaung MM","Public Health","Female","23453","13875","37328"
"National","free state","Mangaung MM","Public Health","Male","20943","11208","32151"
"National","free state","T Mofutsanyana DM","Private Health","Female","1841","1120","2961"
"National","free state","T Mofutsanyana DM","Private Health","Male","1582","916","2498"
"National","free state","T Mofutsanyana DM","Public Health","Female","26794","15466","42260"
"National","free state","T Mofutsanyana DM","Public Health","Male","23029","11650","34679"
