"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","91"
"eastern cape","Public Health","1763"
"free state","Private Health","98"
"free state","Public Health","1005"
"gauteng","Private Health","785"
"gauteng","Public Health","1502"
"kwazulu-natal","Private Health","143"
"kwazulu-natal","Public Health","2540"
"limpopo","Private Health","224"
"limpopo","Public Health","1927"
"mpumalanga","Private Health","230"
"mpumalanga","Public Health","1915"
"northern cape","Private Health","27"
"northern cape","Public Health","992"
"north west","Private Health","64"
"north west","Public Health","591"
"western cape","Private Health","223"
"western cape","Public Health","744"
